locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILPPLFEM_00114	CDS	648	dut_1	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
ILPPLFEM_00115	CDS	633				hypothetical protein
ILPPLFEM_00116	CDS	447				hypothetical protein
ILPPLFEM_00117	CDS	435				hypothetical protein
ILPPLFEM_00118	CDS	516				hypothetical protein
ILPPLFEM_00119	CDS	429				hypothetical protein
ILPPLFEM_00120	CDS	507				hypothetical protein
ILPPLFEM_00121	CDS	435				hypothetical protein
ILPPLFEM_00122	CDS	492				hypothetical protein
ILPPLFEM_00123	CDS	729				hypothetical protein
ILPPLFEM_00124	CDS	342				hypothetical protein
ILPPLFEM_00125	CDS	507				hypothetical protein
ILPPLFEM_00126	CDS	324				hypothetical protein
ILPPLFEM_00127	CDS	528				hypothetical protein
ILPPLFEM_00128	CDS	639				hypothetical protein
ILPPLFEM_00129	CDS	1410	argA_1	2.3.1.1	COG0548	Amino-acid acetyltransferase
ILPPLFEM_00130	CDS	2457	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
ILPPLFEM_00131	CDS	1998	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
ILPPLFEM_00132	CDS	1458	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
ILPPLFEM_00133	CDS	1125	dnaN_1		COG0592	Beta sliding clamp
ILPPLFEM_00134	CDS	1122	recF_1		COG1195	DNA replication and repair protein RecF
ILPPLFEM_00135	CDS	543				hypothetical protein
ILPPLFEM_00136	CDS	156	rpmH_1		COG0230	50S ribosomal protein L34
ILPPLFEM_00137	CDS	1809	yidC_1			Membrane protein insertase YidC
ILPPLFEM_00138	CDS	717				hypothetical protein
ILPPLFEM_00139	CDS	777				hypothetical protein
ILPPLFEM_00140	CDS	1023				hypothetical protein
ILPPLFEM_00141	CDS	534				hypothetical protein
ILPPLFEM_00142	CDS	756				hypothetical protein
ILPPLFEM_00143	CDS	1383				hypothetical protein
ILPPLFEM_00144	CDS	405	cdd_1	3.5.4.5	COG0295	Cytidine deaminase
ILPPLFEM_00145	CDS	312			COG1534	RNA-binding protein
ILPPLFEM_00146	CDS	750				hypothetical protein
ILPPLFEM_00147	CDS	408				hypothetical protein
ILPPLFEM_00148	CDS	1320	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
ILPPLFEM_00149	CDS	4236	carB_1			Carbamoyl-phosphate synthase large chain
ILPPLFEM_00150	CDS	1896				hypothetical protein
ILPPLFEM_00151	CDS	2205				hypothetical protein
ILPPLFEM_00152	CDS	522				hypothetical protein
ILPPLFEM_00153	tRNA	73				tRNA-Ala(cgc)
ILPPLFEM_00154	CDS	936				hypothetical protein
ILPPLFEM_00155	CDS	1497	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ILPPLFEM_00156	CDS	1473	nnr_1		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
ILPPLFEM_00157	CDS	369	lrgA_1		COG1380	Antiholin-like protein LrgA
ILPPLFEM_00158	CDS	696	lrgB		COG1346	Antiholin-like protein LrgB
ILPPLFEM_00159	CDS	834	proB_1	2.7.2.11	COG0263	Glutamate 5-kinase
ILPPLFEM_00160	CDS	780	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
ILPPLFEM_00161	CDS	849				hypothetical protein
ILPPLFEM_00162	CDS	1419	yeeO_1		COG0534	putative FMN/FAD exporter YeeO
ILPPLFEM_00163	CDS	1467	pal_1			Peptidoglycan-associated lipoprotein
ILPPLFEM_00164	CDS	471	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
ILPPLFEM_00165	CDS	918	hcaR			Hca operon transcriptional activator HcaR
ILPPLFEM_00166	CDS	1281		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
ILPPLFEM_00167	CDS	879	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
ILPPLFEM_00168	CDS	558	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
ILPPLFEM_00169	CDS	1542	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
ILPPLFEM_00170	CDS	3942	purL_1	6.3.5.3		Phosphoribosylformylglycinamidine synthase
ILPPLFEM_00171	CDS	984				hypothetical protein
ILPPLFEM_00172	CDS	1275				hypothetical protein
ILPPLFEM_00173	CDS	1266				hypothetical protein
ILPPLFEM_00174	CDS	651	cmk_1	2.7.4.25		Cytidylate kinase
ILPPLFEM_00175	CDS	747	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
ILPPLFEM_00176	CDS	771	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
ILPPLFEM_00177	CDS	969	hmuU_1		COG0609	Hemin transport system permease protein HmuU
ILPPLFEM_00178	CDS	843	btuF		COG0614	Vitamin B12-binding protein
ILPPLFEM_00179	CDS	687	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
ILPPLFEM_00180	CDS	2427	chbP_1	2.4.1.280		N,N'-diacetylchitobiose phosphorylase
ILPPLFEM_00181	CDS	1305				hypothetical protein
ILPPLFEM_00182	CDS	960	lacF_1			Lactose transport system permease protein LacF
ILPPLFEM_00183	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
ILPPLFEM_00184	CDS	1596	xynB	3.2.1.37	COG3507	Beta-xylosidase
ILPPLFEM_00185	CDS	1014	degA_1		COG1609	HTH-type transcriptional regulator DegA
ILPPLFEM_00186	tRNA	71				tRNA-Gly(ccc)
ILPPLFEM_00187	CDS	312	ybaB			Nucleoid-associated protein YbaB
ILPPLFEM_00188	CDS	588	recR_1		COG0353	Recombination protein RecR
ILPPLFEM_00189	CDS	969				hypothetical protein
ILPPLFEM_00190	CDS	1905				hypothetical protein
ILPPLFEM_00191	CDS	1269	htpX	3.4.24.-		Protease HtpX
ILPPLFEM_00192	CDS	663	rsmG_1	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
ILPPLFEM_00193	CDS	912				hypothetical protein
ILPPLFEM_00194	CDS	810				hypothetical protein
ILPPLFEM_00195	CDS	963				hypothetical protein
ILPPLFEM_00196	CDS	951				hypothetical protein
ILPPLFEM_00197	CDS	393				hypothetical protein
ILPPLFEM_00198	CDS	2049				hypothetical protein
ILPPLFEM_00199	CDS	426				hypothetical protein
ILPPLFEM_00200	CDS	345	arnE			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
ILPPLFEM_00201	CDS	360				hypothetical protein
ILPPLFEM_00202	CDS	2709				hypothetical protein
ILPPLFEM_00203	CDS	915		2.4.-.-		putative glycosyltransferase
ILPPLFEM_00204	CDS	1098	fdtB_1	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
ILPPLFEM_00205	CDS	369	fdtA_1	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
ILPPLFEM_00206	CDS	1191				hypothetical protein
ILPPLFEM_00207	CDS	834				hypothetical protein
ILPPLFEM_00208	CDS	900				hypothetical protein
ILPPLFEM_00209	CDS	201				hypothetical protein
ILPPLFEM_00210	CDS	117				hypothetical protein
ILPPLFEM_00211	CDS	885				hypothetical protein
ILPPLFEM_00212	CDS	222	dltC			D-alanyl carrier protein
ILPPLFEM_00213	CDS	1170	btrK	4.1.1.95		L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
ILPPLFEM_00214	CDS	1506	ppsC	2.3.1.-	COG1020	Plipastatin synthase subunit C
ILPPLFEM_00215	CDS	1617				hypothetical protein
ILPPLFEM_00216	CDS	1311				hypothetical protein
ILPPLFEM_00217	CDS	1194				hypothetical protein
ILPPLFEM_00218	CDS	1536	rny_1	3.1.-.-	COG1418	Ribonuclease Y
ILPPLFEM_00219	CDS	1185	galK_1	2.7.1.6	COG0153	Galactokinase
ILPPLFEM_00220	CDS	243	rpsP		COG0228	30S ribosomal protein S16
ILPPLFEM_00221	CDS	234				hypothetical protein
ILPPLFEM_00222	CDS	606	rimM			Ribosome maturation factor RimM
ILPPLFEM_00223	CDS	813	trmD_1	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
ILPPLFEM_00224	CDS	474				hypothetical protein
ILPPLFEM_00225	CDS	1035				hypothetical protein
ILPPLFEM_00226	CDS	264				hypothetical protein
ILPPLFEM_00227	CDS	363				hypothetical protein
ILPPLFEM_00228	CDS	165				hypothetical protein
ILPPLFEM_00229	CDS	489				hypothetical protein
ILPPLFEM_00230	tRNA	88				tRNA-Leu(taa)
ILPPLFEM_00231	CDS	894	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
ILPPLFEM_00232	CDS	1590	pgi_1	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
ILPPLFEM_00233	CDS	2406				hypothetical protein
ILPPLFEM_00234	CDS	471	argR_1			Arginine repressor
ILPPLFEM_00235	CDS	2580	mutS2_1	3.1.-.-		Endonuclease MutS2
ILPPLFEM_00236	CDS	648	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
ILPPLFEM_00237	CDS	846	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
ILPPLFEM_00238	CDS	822	znuC_1	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
ILPPLFEM_00239	CDS	933	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
ILPPLFEM_00240	CDS	1146	fucO_1	1.1.1.77	COG1454	Lactaldehyde reductase
ILPPLFEM_00241	CDS	1290	trmR	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
ILPPLFEM_00242	CDS	933	prmC_1	2.1.1.297	COG2890	Release factor glutamine methyltransferase
ILPPLFEM_00243	CDS	1086	prfA_1		COG0216	Peptide chain release factor 1
ILPPLFEM_00244	CDS	1335				hypothetical protein
ILPPLFEM_00245	CDS	564				hypothetical protein
ILPPLFEM_00246	CDS	573	srpC_1		COG2059	putative chromate transport protein
ILPPLFEM_00247	CDS	750	tpiA_1	5.3.1.1	COG0149	Triosephosphate isomerase
ILPPLFEM_00248	CDS	1365	argG_1	6.3.4.5	COG0137	Argininosuccinate synthase
ILPPLFEM_00249	CDS	777				hypothetical protein
ILPPLFEM_00250	CDS	1722				hypothetical protein
ILPPLFEM_00251	CDS	1158	argD_1	2.6.1.11	COG4992	Acetylornithine aminotransferase
ILPPLFEM_00252	CDS	903	argB_1	2.7.2.8	COG0548	Acetylglutamate kinase
ILPPLFEM_00253	CDS	1272	argJ_1		COG1364	Arginine biosynthesis bifunctional protein ArgJ
ILPPLFEM_00254	CDS	2097				hypothetical protein
ILPPLFEM_00255	CDS	921				hypothetical protein
ILPPLFEM_00256	CDS	690	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ILPPLFEM_00257	CDS	747				queuosine precursor transporter
ILPPLFEM_00258	CDS	150				hypothetical protein
ILPPLFEM_00259	CDS	531				hypothetical protein
ILPPLFEM_00260	CDS	1128				hypothetical protein
ILPPLFEM_00261	CDS	672				hypothetical protein
ILPPLFEM_00262	CDS	600	epsD_1	2.4.-.-		Putative glycosyltransferase EpsD
ILPPLFEM_00263	CDS	564	epsD_2	2.4.-.-		Putative glycosyltransferase EpsD
ILPPLFEM_00264	CDS	792				hypothetical protein
ILPPLFEM_00265	CDS	984				hypothetical protein
ILPPLFEM_00266	CDS	1071				hypothetical protein
ILPPLFEM_00267	CDS	930				hypothetical protein
ILPPLFEM_00268	CDS	1113				hypothetical protein
ILPPLFEM_00269	CDS	264				hypothetical protein
ILPPLFEM_00270	CDS	1644				hypothetical protein
ILPPLFEM_00271	CDS	684	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
ILPPLFEM_00272	CDS	831	asrB_1		COG0543	Anaerobic sulfite reductase subunit B
ILPPLFEM_00273	CDS	1038	asrA_1		COG1145	Anaerobic sulfite reductase subunit A
ILPPLFEM_00274	CDS	963				hypothetical protein
ILPPLFEM_00275	CDS	441				hypothetical protein
ILPPLFEM_00276	CDS	2013	napF			Ferredoxin-type protein NapF
ILPPLFEM_00277	CDS	396				hypothetical protein
ILPPLFEM_00278	CDS	840	sdhE	1.3.5.-	COG2048	8-methylmenaquinol:fumarate reductase membrane anchor subunit
ILPPLFEM_00279	CDS	1389	fumC	4.2.1.2		Fumarate hydratase class II
ILPPLFEM_00280	CDS	942	ldh2	1.1.1.27	COG0039	L-lactate dehydrogenase 2
ILPPLFEM_00281	CDS	2448	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
ILPPLFEM_00282	CDS	711	ybhL_1		COG0670	Inner membrane protein YbhL
ILPPLFEM_00283	CDS	633				hypothetical protein
ILPPLFEM_00284	CDS	1035				hypothetical protein
ILPPLFEM_00285	CDS	1098	yhhT		COG0628	Putative transport protein YhhT
ILPPLFEM_00286	CDS	1338	serS	6.1.1.11		Serine--tRNA ligase
ILPPLFEM_00287	CDS	696			COG2968	26 kDa periplasmic immunogenic protein
ILPPLFEM_00288	CDS	1494				hypothetical protein
ILPPLFEM_00289	CDS	372				hypothetical protein
ILPPLFEM_00290	CDS	2955	smc_1			Chromosome partition protein Smc
ILPPLFEM_00291	CDS	1167	cshC_1	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshC
ILPPLFEM_00292	CDS	1119	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
ILPPLFEM_00293	CDS	1263	clpX_1		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
ILPPLFEM_00294	CDS	612	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
ILPPLFEM_00295	CDS	1371	tig_1	5.2.1.8	COG0544	Trigger factor
ILPPLFEM_00296	tRNA	73				tRNA-Gly(gcc)
ILPPLFEM_00297	tRNA	73				tRNA-Gly(gcc)
ILPPLFEM_00298	tRNA	81				tRNA-Leu(tag)
ILPPLFEM_00299	tRNA	73				tRNA-Lys(ctt)
ILPPLFEM_00300	tRNA	74				tRNA-Arg(tcg)
ILPPLFEM_00301	tRNA	73				tRNA-His(gtg)
ILPPLFEM_00302	CDS	771	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
ILPPLFEM_00303	CDS	828	ecfA2_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
ILPPLFEM_00304	CDS	843	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
ILPPLFEM_00305	CDS	558				hypothetical protein
ILPPLFEM_00306	CDS	900				hypothetical protein
ILPPLFEM_00307	CDS	1152	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
ILPPLFEM_00308	CDS	534				hypothetical protein
ILPPLFEM_00309	CDS	1239				hypothetical protein
ILPPLFEM_00310	CDS	1188	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
ILPPLFEM_00311	CDS	1374	atoC_1		COG2204	Regulatory protein AtoC
ILPPLFEM_00312	CDS	429	djlA_1			Co-chaperone protein DjlA
ILPPLFEM_00313	CDS	879	rhaR_1			HTH-type transcriptional activator RhaR
ILPPLFEM_00314	CDS	1488	xylB_1	2.7.1.17	COG1070	Xylulose kinase
ILPPLFEM_00315	CDS	1314	xylA	5.3.1.5	COG2115	Xylose isomerase
ILPPLFEM_00316	CDS	1500	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
ILPPLFEM_00317	CDS	870				hypothetical protein
ILPPLFEM_00318	CDS	561	cmk_2	2.7.4.25		Cytidylate kinase
ILPPLFEM_00319	CDS	1413	thrC_1	4.2.3.1	COG0498	Threonine synthase
ILPPLFEM_00320	CDS	651				hypothetical protein
ILPPLFEM_00321	CDS	1116				hypothetical protein
ILPPLFEM_00322	CDS	1161				hypothetical protein
ILPPLFEM_00323	CDS	1266				hypothetical protein
ILPPLFEM_00324	CDS	876	rsmA_1	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
ILPPLFEM_00325	CDS	717			COG0325	Pyridoxal phosphate homeostasis protein
ILPPLFEM_00326	CDS	450				hypothetical protein
ILPPLFEM_00327	CDS	981	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
ILPPLFEM_00328	CDS	729				hypothetical protein
ILPPLFEM_00329	CDS	1671				hypothetical protein
ILPPLFEM_00330	CDS	2037				hypothetical protein
ILPPLFEM_00331	CDS	1731				hypothetical protein
ILPPLFEM_00332	CDS	237	nfuA			Fe/S biogenesis protein NfuA
ILPPLFEM_00333	CDS	546	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
ILPPLFEM_00334	CDS	576	aroK_1	2.7.1.71	COG0703	Shikimate kinase 1
ILPPLFEM_00335	CDS	723	rsmI_1	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
ILPPLFEM_00336	CDS	1227				hypothetical protein
ILPPLFEM_00337	CDS	1461	lapB_1			Lipopolysaccharide assembly protein B
ILPPLFEM_00338	CDS	1896				hypothetical protein
ILPPLFEM_00339	CDS	1431	treA	3.2.1.28		Periplasmic trehalase
ILPPLFEM_00340	CDS	1539	ppx_1	3.6.1.11	COG0248	Exopolyphosphatase
ILPPLFEM_00341	CDS	2130	ppk_1	2.7.4.1		Polyphosphate kinase
ILPPLFEM_00342	CDS	222	infA_1		COG0361	Translation initiation factor IF-1
ILPPLFEM_00343	CDS	357	dksA_1			RNA polymerase-binding transcription factor DksA
ILPPLFEM_00344	CDS	843	hisK_1	3.1.3.15	COG1387	Histidinol-phosphatase
ILPPLFEM_00345	CDS	1245	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
ILPPLFEM_00346	CDS	579	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
ILPPLFEM_00347	CDS	783				hypothetical protein
ILPPLFEM_00348	CDS	546				hypothetical protein
ILPPLFEM_00349	tRNA	74				tRNA-Ala(ggc)
ILPPLFEM_00350	CDS	645	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
ILPPLFEM_00351	CDS	711	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
ILPPLFEM_00352	CDS	825	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ILPPLFEM_00353	CDS	1017				hypothetical protein
ILPPLFEM_00354	CDS	891	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
ILPPLFEM_00355	CDS	1143	braC_1		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
ILPPLFEM_00356	CDS	249				hypothetical protein
ILPPLFEM_00357	CDS	432	rplQ_1		COG0203	50S ribosomal protein L17
ILPPLFEM_00358	CDS	1047	rpoA_1	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
ILPPLFEM_00359	CDS	384	rpsK_1			30S ribosomal protein S11
ILPPLFEM_00360	CDS	369	rpsM_1		COG0099	30S ribosomal protein S13
ILPPLFEM_00361	CDS	189				hypothetical protein
ILPPLFEM_00362	CDS	1335	secY_1		COG0201	Protein translocase subunit SecY
ILPPLFEM_00363	CDS	474	rplO_1		COG0200	50S ribosomal protein L15
ILPPLFEM_00364	CDS	183	rpmD_1		COG1841	50S ribosomal protein L30
ILPPLFEM_00365	CDS	513	rpsE_1			30S ribosomal protein S5
ILPPLFEM_00366	CDS	363	rplR_1			50S ribosomal protein L18
ILPPLFEM_00367	CDS	543	rplF_1		COG0097	50S ribosomal protein L6
ILPPLFEM_00368	CDS	402	rpsH_1			30S ribosomal protein S8
ILPPLFEM_00369	CDS	552	rplE_1		COG0094	50S ribosomal protein L5
ILPPLFEM_00370	CDS	324	rplX_1			50S ribosomal protein L24
ILPPLFEM_00371	CDS	369	rplN_1		COG0093	50S ribosomal protein L14
ILPPLFEM_00372	CDS	273	rpsQ_1		COG0186	30S ribosomal protein S17
ILPPLFEM_00373	CDS	243				hypothetical protein
ILPPLFEM_00374	CDS	417	rplP_1		COG0197	50S ribosomal protein L16
ILPPLFEM_00375	CDS	753	rpsC_1		COG0092	30S ribosomal protein S3
ILPPLFEM_00376	CDS	357	rplV_1		COG0091	50S ribosomal protein L22
ILPPLFEM_00377	CDS	285	rpsS_1		COG0185	30S ribosomal protein S19
ILPPLFEM_00378	CDS	825	rplB_1			50S ribosomal protein L2
ILPPLFEM_00379	CDS	285	rplW_1		COG0089	50S ribosomal protein L23
ILPPLFEM_00380	CDS	639	rplD_1			50S ribosomal protein L4
ILPPLFEM_00381	CDS	621	rplC_1		COG0087	50S ribosomal protein L3
ILPPLFEM_00382	CDS	309	rpsJ_1		COG0051	30S ribosomal protein S10
ILPPLFEM_00383	CDS	1188	tufA		COG0050	Elongation factor Tu
ILPPLFEM_00384	CDS	471	rpsG_1		COG0049	30S ribosomal protein S7
ILPPLFEM_00385	CDS	375	rpsL_1		COG0048	30S ribosomal protein S12
ILPPLFEM_00386	CDS	4485	rpoC_1	2.7.7.6		DNA-directed RNA polymerase subunit beta'
ILPPLFEM_00387	CDS	3558	rpoB_1	2.7.7.6		DNA-directed RNA polymerase subunit beta
ILPPLFEM_00388	CDS	375	rplL_1		COG0222	50S ribosomal protein L7/L12
ILPPLFEM_00389	CDS	597	rplJ_1		COG0244	50S ribosomal protein L10
ILPPLFEM_00390	CDS	678	rplA_1		COG0081	50S ribosomal protein L1
ILPPLFEM_00391	CDS	435	rplK_1		COG0080	50S ribosomal protein L11
ILPPLFEM_00392	CDS	558	nusG_1		COG0250	Transcription termination/antitermination protein NusG
